noradId,name,updatedAt
28353,"SL-16 R/B",2025-08-19T06:35:09.769Z
28222,"CZ-2C R/B",2025-08-19T06:35:09.753Z
28059,"CZ-4B R/B",2025-08-19T06:35:09.739Z
27601,"H-2A R/B",2025-08-19T06:35:09.723Z
27597,"MIDORI II (ADEOS-II)",2025-08-19T06:35:09.707Z
27432,"CZ-4B R/B",2025-08-19T06:35:09.688Z
27424,"AQUA",2025-08-19T06:35:09.673Z
27422,"IDEFIX & ARIANE 42P R/B",2025-08-19T06:35:09.656Z
27386,"ENVISAT",2025-08-19T06:35:09.640Z
26474,"TITAN 4B R/B",2025-08-19T06:35:09.619Z
26070,"SL-16 R/B",2025-08-19T06:35:09.600Z
25994,"TERRA",2025-08-19T06:35:09.584Z
25977,"HELIOS 1B",2025-08-19T06:35:09.568Z
25876,"DELTA 2 R/B",2025-08-19T06:35:09.549Z
25861,"SL-16 R/B",2025-08-19T06:35:09.533Z
25860,"OKEAN-O",2025-08-19T06:35:09.516Z
25732,"CZ-4B R/B",2025-08-19T06:35:09.501Z
25407,"SL-16 R/B",2025-08-19T06:35:09.469Z
25400,"SL-16 R/B",2025-08-19T06:35:09.451Z
24883,"ORBVIEW 2 (SEASTAR)",2025-08-19T06:35:09.433Z
24298,"SL-16 R/B",2025-08-19T06:35:09.415Z
23705,"SL-16 R/B",2025-08-19T06:35:09.397Z
23561,"ARIANE 40+ R/B",2025-08-19T06:35:09.380Z
23405,"SL-16 R/B",2025-08-19T06:35:09.364Z
23343,"SL-16 R/B",2025-08-19T06:35:09.348Z
23088,"SL-16 R/B",2025-08-19T06:35:09.331Z
23087,"COSMOS 2278",2025-08-19T06:35:09.316Z
22830,"ARIANE 40 R/B",2025-08-19T06:35:09.302Z
22803,"SL-16 R/B",2025-08-19T06:35:09.285Z
22626,"COSMOS 2242",2025-08-19T06:35:09.267Z
22566,"SL-16 R/B",2025-08-19T06:35:09.248Z
22286,"COSMOS 2228",2025-08-19T06:35:09.229Z
22285,"SL-16 R/B",2025-08-19T06:35:09.209Z
22236,"COSMOS 2221",2025-08-19T06:35:09.192Z
22220,"SL-16 R/B",2025-08-19T06:35:09.176Z
22219,"COSMOS 2219",2025-08-19T06:35:09.160Z
21949,"USA 81",2025-08-19T06:35:09.145Z
21938,"SL-8 R/B",2025-08-19T06:35:09.129Z
21876,"SL-8 R/B",2025-08-19T06:35:09.111Z
21819,"INTERCOSMOS 25",2025-08-19T06:35:09.097Z
21610,"ARIANE 40 R/B",2025-08-19T06:35:09.080Z
21574,"ERS-1",2025-08-19T06:35:09.064Z
21423,"SL-14 R/B",2025-08-19T06:35:09.050Z
21422,"COSMOS 2151",2025-08-19T06:35:09.026Z
21397,"OKEAN-3",2025-08-19T06:35:09.009Z
21088,"SL-8 R/B",2025-08-19T06:35:08.993Z
20775,"SL-8 R/B",2025-08-19T06:35:08.976Z
20666,"SL-6 R/B(2)",2025-08-19T06:35:08.960Z
20663,"COSMOS 2084",2025-08-19T06:35:08.945Z
20625,"SL-16 R/B",2025-08-19T06:35:08.924Z
20580,"HST",2025-08-19T06:35:08.909Z
20511,"SL-14 R/B",2025-08-19T06:35:08.893Z
20466,"SL-14 R/B",2025-08-19T06:35:08.877Z
20465,"COSMOS 2058",2025-08-19T06:35:08.860Z
20453,"DELTA 2 R/B(1)",2025-08-19T06:35:08.841Z
20443,"ARIANE 40 R/B",2025-08-19T06:35:08.824Z
20323,"DELTA 1 R/B",2025-08-19T06:35:08.809Z
20262,"SL-14 R/B",2025-08-19T06:35:08.792Z
20261,"INTERCOSMOS 24",2025-08-19T06:35:08.774Z
19650,"SL-16 R/B",2025-08-19T06:35:08.756Z
19574,"SL-14 R/B",2025-08-19T06:35:08.739Z
19573,"COSMOS 1975",2025-08-19T06:35:08.718Z
19257,"SL-8 R/B",2025-08-19T06:35:08.701Z
19210,"COSMOS 1953",2025-08-19T06:35:08.684Z
19120,"SL-16 R/B",2025-08-19T06:35:08.637Z
19046,"SL-3 R/B",2025-08-19T06:35:08.622Z
18958,"COSMOS 1933",2025-08-19T06:35:08.602Z
18749,"SL-14 R/B",2025-08-19T06:35:08.586Z
18421,"COSMOS 1892",2025-08-19T06:35:08.569Z
18187,"COSMOS 1867",2025-08-19T06:35:08.553Z
18153,"SL-14 R/B",2025-08-19T06:35:08.536Z
17973,"COSMOS 1844",2025-08-19T06:35:08.521Z
17912,"SL-14 R/B",2025-08-19T06:35:08.504Z
17590,"SL-16 R/B",2025-08-19T06:35:08.489Z
17589,"COSMOS 1833",2025-08-19T06:35:08.472Z
17567,"SL-14 R/B",2025-08-19T06:35:08.456Z
17295,"COSMOS 1812",2025-08-19T06:35:08.439Z
16908,"AJISAI (EGS)",2025-08-19T06:35:08.423Z
16882,"SL-14 R/B",2025-08-19T06:35:08.403Z
16792,"SL-14 R/B",2025-08-19T06:35:08.382Z
16719,"COSMOS 1743",2025-08-19T06:35:08.365Z
16496,"SL-14 R/B",2025-08-19T06:35:08.349Z
16182,"SL-16 R/B",2025-08-19T06:35:08.333Z
15945,"SL-14 R/B",2025-08-19T06:35:08.318Z
15772,"SL-12 R/B(2)",2025-08-19T06:35:08.301Z
15483,"SL-8 R/B",2025-08-19T06:35:08.285Z
14820,"SL-14 R/B",2025-08-19T06:35:08.269Z
14699,"COSMOS 1536",2025-08-19T06:35:08.252Z
14208,"SL-3 R/B",2025-08-19T06:35:08.236Z
14032,"COSMOS 1455",2025-08-19T06:35:08.218Z
13819,"SL-3 R/B",2025-08-19T06:35:08.189Z
13553,"SL-14 R/B",2025-08-19T06:35:08.169Z
13403,"SL-3 R/B",2025-08-19T06:35:08.153Z
13154,"SL-3 R/B",2025-08-19T06:35:08.135Z
13068,"SL-3 R/B",2025-08-19T06:35:08.116Z
12904,"SL-3 R/B",2025-08-19T06:35:08.097Z
12585,"METEOR PRIRODA",2025-08-19T06:35:08.081Z
12465,"SL-3 R/B",2025-08-19T06:35:08.065Z
12139,"SL-8 R/B",2025-08-19T06:35:08.048Z
11672,"SL-14 R/B",2025-08-19T06:35:07.936Z
11574,"SL-8 R/B",2025-08-19T06:35:07.903Z
11267,"SL-14 R/B",2025-08-19T06:35:07.786Z
10967,"SEASAT 1",2025-08-19T06:35:07.732Z
10114,"SL-3 R/B",2025-08-19T06:35:07.675Z
8459,"SL-8 R/B",2025-08-19T06:35:07.618Z
6155,"ATLAS CENTAUR R/B",2025-08-19T06:35:07.558Z
6153,"OAO 3 (COPERNICUS)",2025-08-19T06:35:07.498Z
5730,"SL-8 R/B",2025-08-19T06:35:07.441Z
5560,"ASTEX 1",2025-08-19T06:35:07.300Z
5118,"SL-3 R/B",2025-08-19T06:35:07.241Z
4327,"SERT 2",2025-08-19T06:35:07.184Z
3669,"ISIS 1",2025-08-19T06:35:07.121Z
3597,"OAO 2",2025-08-19T06:35:07.104Z
3230,"SL-8 R/B",2025-08-19T06:35:07.047Z
2802,"SL-8 R/B",2025-08-19T06:35:06.988Z
877,"SL-3 R/B",2025-08-19T06:35:06.932Z
733,"THOR AGENA D R/B",2025-08-19T06:35:06.875Z
694,"ATLAS CENTAUR 2",2025-08-19T06:35:06.796Z
43013,"NOAA 20 (JPSS-1)",2025-08-19T06:28:26.828Z
39444,"FUNCUBE-1 (AO-73)",2025-08-19T06:28:26.806Z
